time;STAT_DZMNMIT_WERT;STAT_ANMVDF_WERT;STAT_LDMP_LSOLL_WERT;STAT_LDMP_LLIN_WERT;STAT_ARMM_LIST_WERT
101;;;;;589.9
264;810;;;;589.9
426;810;;;1061;589.9
616;810;;927;1061;589.9
825;810;4.107;927;1061;589.9
956;810;4.107;927;1061;605.8
1204;751;4.107;927;1061;605.8
1321;751;4.107;927;1039;605.8
1570;751;4.107;940;1039;605.8
1748;751;4.103;940;1039;605.8
1909;751;4.103;940;1039;597.2
2100;764;4.103;940;1039;597.2
2290;764;4.103;940;1031;597.2
2470;764;4.103;909;1031;597.2
2576;764;4.111;909;1031;597.2
2760;764;4.111;909;1031;584.7
3003;754;4.111;909;1031;584.7
3157;754;4.111;909;1027;584.7
3331;754;4.111;898;1027;584.7
3553;754;4.115;898;1027;584.7
3712;754;4.115;898;1027;589.2
3871;753;4.115;898;1027;589.2
4062;753;4.115;898;1024;589.2
4255;753;4.115;895;1024;589.2
4433;753;4.111;895;1024;589.2
4572;753;4.111;895;1024;593.1
4805;740;4.111;895;1024;593.1
4997;740;4.111;895;1022;593.1
5177;740;4.111;886;1022;593.1
5357;740;4.107;886;1022;593.1
5536;740;4.107;886;1022;589.9
5720;736;4.107;886;1022;589.9
5906;736;4.107;886;1022;589.9
6074;736;4.107;896;1022;589.9
6256;736;4.107;896;1022;589.9
6377;736;4.107;896;1022;593.9
6567;749;4.107;896;1022;593.9
6800;749;4.107;896;1022;593.9
6973;749;4.107;1018;1022;593.9
7175;749;4.09;1018;1022;593.9
7282;749;4.09;1018;1022;548.8
7496;1106;4.09;1018;1022;548.8
7645;1106;4.09;1018;1030;548.8
7869;1106;4.09;1034;1030;548.8
8057;1106;4.06;1034;1030;548.8
8258;1106;4.06;1034;1030;569
8394;1242;4.06;1034;1030;569
8608;1242;4.06;1034;1060;569
8789;1242;4.06;1078;1060;569
8985;1242;4.034;1078;1060;569
9167;1242;4.034;1078;1060;570.3
9349;1490;4.034;1078;1060;570.3
9507;1490;4.034;1078;1116;570.3
9713;1490;4.034;1399;1116;570.3
9839;1490;3.974;1399;1116;570.3
10073;1490;3.974;1399;1116;616
10257;2004;3.974;1399;1116;616
10439;2004;3.974;1399;1292;616
10622;2004;3.974;1409;1292;616
10800;2004;3.935;1409;1292;616
10982;2004;3.935;1409;1292;583.1
11100;2082;3.935;1409;1292;583.1
11346;2082;3.935;1409;1194;583.1
11505;2082;3.935;1284;1194;583.1
11653;2082;3.978;1284;1194;583.1
11888;2082;3.978;1284;1194;593.1
12068;1781;3.978;1284;1194;593.1
12217;1781;3.978;1284;1158;593.1
12429;1781;3.978;1286;1158;593.1
12578;1781;3.978;1286;1158;593.1
12771;1781;3.978;1286;1158;576.4
12975;1873;3.978;1286;1158;576.4
13125;1873;3.978;1286;1149;576.4
13326;1873;3.978;1284;1149;576.4
13520;1873;3.965;1284;1149;576.4
13649;1873;3.965;1284;1149;568.6
13884;1969;3.965;1284;1149;568.6
14042;1969;3.965;1284;1135;568.6
14205;1969;3.965;1322;1135;568.6
14426;1969;3.952;1322;1135;568.6
14575;1969;3.952;1322;1135;561.8
14786;2063;3.952;1322;1135;561.8
14966;2063;3.952;1322;1119;561.8
15116;2063;3.952;1108;1119;561.8
15253;2063;3.952;1108;1119;561.8
15496;2063;3.952;1108;1119;542.6
15655;2017;3.952;1108;1119;542.6
15857;2017;3.952;1108;1073;542.6
16008;2017;3.952;1073;1073;542.6
16222;2017;3.952;1073;1073;542.6
16402;2017;3.952;1073;1073;544.3
16593;1896;3.952;1073;1073;544.3
16701;1896;3.952;1073;1043;544.3
16937;1896;3.952;1082;1043;544.3
17139;1896;3.952;1082;1043;544.3
17322;1896;3.952;1082;1043;531.1
17502;2032;3.952;1082;1043;531.1
17639;2032;3.952;1082;1045;531.1
17861;2032;3.952;1088;1045;531.1
17993;2032;3.982;1088;1045;531.1
18223;2032;3.982;1088;1045;575.4
18409;1552;3.982;1088;1045;575.4
18559;1552;3.982;1088;1075;575.4
18728;1552;3.982;1081;1075;575.4
18878;1552;4.008;1081;1075;575.4
19072;1552;4.008;1081;1075;556.9
19291;1602;4.008;1081;1075;556.9
19489;1602;4.008;1081;1087;556.9
19648;1602;4.008;1084;1087;556.9
19852;1602;4.012;1084;1087;556.9
20030;1602;4.012;1084;1087;559.6
20199;1622;4.012;1084;1087;559.6
20394;1622;4.012;1084;1094;559.6
20577;1622;4.012;1079;1094;559.6
20732;1622;4.012;1079;1094;559.6
20946;1622;4.012;1079;1094;567.8
21129;1642;4.012;1079;1094;567.8
21297;1642;4.012;1079;1097;567.8
21492;1642;4.012;1055;1097;567.8
21631;1642;4.012;1055;1097;567.8
21841;1642;4.012;1055;1097;560.6
21957;1639;4.012;1055;1097;560.6
22211;1639;4.012;1055;1091;560.6
22391;1639;4.012;1055;1091;560.6
22550;1639;4.008;1055;1091;560.6
22727;1639;4.008;1055;1091;560.9
22868;1664;4.008;1055;1091;560.9
23108;1664;4.008;1055;1090;560.9
23279;1664;4.008;1062;1090;560.9
23470;1664;4;1062;1090;560.9
23628;1664;4;1062;1090;562.5
23765;1679;4;1062;1090;562.5
24010;1679;4;1062;1092;562.5
24113;1679;4;2066;1092;562.5
24339;1679;3.94;2066;1092;562.5
24535;1679;3.94;2066;1092;585.8
24672;2558;3.94;2066;1092;585.8
24905;2558;3.94;2066;1249;585.8
25087;2558;3.94;2100;1249;585.8
25267;2558;3.824;2100;1249;585.8
25408;2558;3.824;2100;1249;662.6
25643;2998;3.824;2100;1249;662.6
25759;2998;3.824;2100;1542;662.6
26007;2998;3.824;2118;1542;662.6
26144;2998;3.782;2118;1542;662.6
26368;2998;3.782;2118;1542;722.7
26505;3390;3.782;2118;1542;722.7
26718;3390;3.782;2118;1723;722.7
26910;3390;3.782;2095;1723;722.7
27093;3390;3.688;2095;1723;722.7
27240;3390;3.688;2095;1723;713.2
27399;3749;3.688;2095;1723;713.2
27632;3749;3.688;2095;1730;713.2
27813;3749;3.688;2056;1730;713.2
27930;3749;3.615;2056;1730;713.2
28175;3749;3.615;2056;1730;684.7
28281;4066;3.615;2056;1730;684.7
28536;4066;3.615;2056;1739;684.7
28694;4066;3.615;1975;1739;684.7
28877;4066;3.534;1975;1739;684.7
29079;4066;3.534;1975;1739;693.7
29249;3660;3.534;1975;1739;693.7
29440;3660;3.534;1975;1786;693.7
29558;3660;3.534;2106;1786;693.7
29771;3660;3.735;2106;1786;693.7
29987;3660;3.735;2106;1786;750.3
30167;3502;3.735;2106;1786;750.3
30294;3502;3.735;2106;1843;750.3
30535;3502;3.735;2093;1843;750.3
30715;3502;3.7;2093;1843;750.3
30863;3502;3.7;2093;1843;728.2
31043;3441;3.7;2093;1843;728.2
31231;3441;3.7;2093;1811;728.2
31435;3441;3.7;2095;1811;728.2
31573;3441;3.713;2095;1811;728.2
31798;3441;3.713;2095;1811;738.8
31978;3531;3.713;2095;1811;738.8
32144;3531;3.713;2095;1321;738.8
32328;3531;3.713;1102;1321;738.8
32509;3531;3.794;1102;1321;738.8
32698;3531;3.794;1102;1321;484
32880;3166;3.794;1102;1321;484
33060;3166;3.794;1102;1015;484
33208;3166;3.794;1069;1015;484
33346;3166;3.876;1069;1015;484
33592;3166;3.876;1069;1015;482.3
33741;2753;3.876;1069;1015;482.3
33931;2753;3.876;1069;992;482.3
34118;2753;3.876;1053;992;482.3
34278;2753;3.935;1053;992;482.3
34514;2753;3.935;1053;992;489.8
34651;2374;3.935;1053;992;489.8
34863;2374;3.935;1053;992;489.8
35059;2374;3.935;1022;992;489.8
35219;2374;3.974;1022;992;489.8
35398;2374;3.974;1022;992;488.9
35597;2206;3.974;1022;992;488.9
35781;2206;3.974;1022;985;488.9
35958;2206;3.974;1004;985;488.9
36090;2206;3.987;1004;985;488.9
36304;2206;3.987;1004;985;499
36434;1987;3.987;1004;985;499
36683;1987;3.987;1004;994;499
36865;1987;3.987;968;994;499
36981;1987;4.06;968;994;499
37174;1987;4.06;968;994;559.2
37339;1280;4.06;968;994;559.2
37551;1280;4.06;968;1028;559.2
37699;1280;4.06;970;1028;559.2
37946;1280;4.111;970;1028;559.2
38125;1280;4.111;970;1028;569.7
38308;964;4.111;970;1028;569.7
38436;964;4.111;970;1027;569.7
38637;964;4.111;969;1027;569.7
38806;964;4.12;969;1027;569.7
39002;964;4.12;969;1027;572.7
39193;929;4.12;969;1027;572.7
39409;929;4.12;969;1022;572.7
39590;929;4.12;967;1022;572.7
39762;929;4.115;967;1022;572.7
39887;929;4.115;967;1022;570.2
40135;905;4.115;967;1022;570.2
40303;905;4.115;967;1019;570.2
40433;905;4.115;968;1019;570.2
40678;905;4.12;968;1019;570.2
40805;905;4.12;968;1019;567.7
41020;868;4.12;968;1019;567.7
41225;868;4.12;968;1017;567.7
41405;868;4.12;966;1017;567.7
41543;868;4.124;966;1017;567.7
41705;868;4.124;966;1017;566.7
41949;841;4.124;966;1017;566.7
42129;841;4.124;966;1014;566.7
42312;841;4.124;937;1014;566.7
42480;841;4.128;937;1014;566.7
42672;841;4.128;937;1014;559
42841;794;4.128;937;1014;559
43035;794;4.128;937;1014;559
43205;794;4.128;912;1014;559
43378;794;4.128;912;1014;559
43584;794;4.128;912;1014;577.2
43732;773;4.128;912;1014;577.2
43949;773;4.128;912;1012;577.2
44128;773;4.128;894;1012;577.2
44280;773;4.128;894;1012;577.2
44484;773;4.128;894;1012;577.7
44654;754;4.128;894;1012;577.7
44813;754;4.128;894;1012;577.7
45022;754;4.128;911;1012;577.7
45205;754;4.128;911;1012;577.7
45402;754;4.128;911;1012;581
45584;759;4.128;911;1012;581
45752;759;4.128;911;1012;581
45881;759;4.128;888;1012;581
46126;759;4.128;888;1012;581
46300;759;4.128;888;1012;576.3
46438;742;4.128;888;1012;576.3
46664;742;4.128;888;1012;576.3
46856;742;4.128;875;1012;576.3
47038;742;4.133;875;1012;576.3
47221;742;4.133;875;1012;579
47400;724;4.133;875;1012;579
47578;724;4.133;875;1012;579
47721;724;4.133;878;1012;579
